It;T;Melhor;Corrente
1120;4.5;301547;301547
1121;4.5;301547;301547
1122;4.5;301547;301547
1123;4.5;301547;301547
1124;4.5;301547;301547
1125;4.5;301547;301547
1126;4.5;301547;301547
1127;4.5;301547;301547
1128;4.5;301547;301547
1129;4.5;301547;301547
1130;4.5;301547;301547
1131;4.5;301547;301547
1132;4.5;301547;301547
1133;4.5;301547;301547
1134;4.5;301547;301547
1135;4.5;301547;301547
1136;4.5;301547;301547
1137;4.5;301547;301547
1138;4.5;301547;301547
1139;4.5;301547;301547
1140;4.5;301547;301547
1141;4.5;301547;301547
1142;4.5;301547;301547
1143;4.5;301547;301547
1144;4.5;301547;301547
1145;4.5;301547;301547
1146;4.5;301547;301547
1147;4.5;301547;301547
1148;4.5;301547;301547
1149;4.5;301547;301547
1150;4.5;301547;301547
1151;4.5;301547;301547
1152;4.5;301547;301547
1153;4.5;301547;301547
1154;4.5;301547;301547
1155;4.5;301547;301547
1156;4.5;301547;301547
1157;4.5;301547;301547
1158;4.5;301547;301547
1159;4.5;301547;301547
1160;4.5;301547;301547
1161;4.5;301547;301547
1162;4.5;301547;301547
1163;4.5;301547;301547
1164;4.5;301547;301547
1165;4.5;301547;301547
1166;4.5;301547;301547
1167;4.5;301547;301547
1168;4.5;301547;301547
1169;4.5;301547;301547
1170;4.5;301547;301547
1171;4.5;301547;301547
1172;4.5;301547;301547
1173;4.5;301547;301547
1174;4.5;301547;301547
1175;4.5;301547;301547
1176;4.5;301547;301547
1177;4.5;301547;301547
1178;4.5;301547;301547
1179;4.5;301547;301547
1180;4.5;301547;301547
1181;4.5;301547;301547
1182;4.5;301547;301547
1183;4.5;301547;301547
1184;4.5;301547;301547
1185;4.5;301547;301547
1186;4.5;301547;301547
1187;4.5;301547;301547
1188;4.5;301547;301547
1189;4.5;301547;301547
1190;4.5;301547;301547
1191;4.5;301547;301547
1192;4.5;291547;291547
1193;4.5;291547;291559
1194;4.5;291547;291559
1195;4.5;291547;291559
1196;4.5;291547;291559
1197;4.5;291547;291559
1198;4.5;281527;281527
1199;4.5;281527;281527
1200;4.5;281527;281527
1201;4.5;281527;281527
1202;4.5;281527;281527
1203;4.5;281527;281527
1204;4.5;281527;281527
1205;4.5;281527;281527
1206;4.5;281527;281527
1207;4.5;281527;281527
1208;4.5;281527;281527
1209;4.5;281527;281527
1210;4.5;281527;281527
1211;4.5;281527;281527
1212;4.5;281527;281527
1213;4.5;281527;281527
1214;4.5;281527;281527
1215;4.5;281527;281527
1216;4.5;281527;281527
1217;4.5;281527;281527
1218;4.5;281527;281527
1219;4.5;281527;281527
1220;4.5;281527;281527
1221;4.5;281527;281527
1222;4.5;281527;281527
1223;4.5;281527;281527
1224;4.5;281527;281527
1225;4.5;281527;281527
1226;4.5;281527;281527
1227;4.5;281527;281527
1228;4.5;281527;281527
1229;4.5;281527;281527
1230;4.5;281527;281527
1231;4.5;281527;281527
1232;4.5;281527;281527
1233;4.5;281527;281527
1234;4.5;281527;281527
1235;4.5;281527;281527
1236;4.5;281527;281527
1237;4.5;281527;281527
1238;4.5;281527;281527
1239;4.5;281527;281527
1240;4.5;281527;281527
1241;4.5;281527;281527
1242;4.5;281527;281527
1243;4.5;281527;281527
1244;4.5;281527;281527
1245;4.5;281527;281527
1246;4.5;281527;281527
1247;4.5;281527;281527
1248;4.5;281527;281527
1249;4.5;281527;281527
1250;4.5;281527;281527
1251;4.5;281527;281527
1252;4.5;281527;281527
1253;4.5;281527;281527
1254;4.5;281527;281527
1255;4.5;281527;281527
1256;4.5;281527;281527
1257;4.5;281527;281527
1258;4.5;281527;281527
1259;4.5;281527;281527
1260;4.5;281527;281527
1261;4.5;281527;281527
1262;4.5;281527;281527
1263;4.5;281527;281527
1264;4.5;281527;281527
1265;4.5;281527;281527
1266;4.5;281527;281527
1267;4.5;281527;281527
1268;4.5;281527;281527
1269;4.5;281527;281527
1270;4.5;281527;281527
1271;4.5;281527;281527
1272;4.5;281527;281527
1273;4.5;281527;281527
1274;4.5;281527;281527
1275;4.5;281527;281527
1276;4.5;281527;281527
1277;4.5;281527;281527
1278;4.5;281527;281527
1279;4.5;281527;281527
1280;4.5;281527;281527
1281;4.5;281527;281527
1282;4.5;281527;281527
1283;4.5;281527;281527
1284;4.5;281527;281527
1285;4.5;281527;281527
1286;4.5;281527;281527
1287;4.5;281527;281527
1288;4.5;281527;281527
1289;4.5;281527;281527
1290;4.5;281527;281527
1291;4.5;281527;281527
1292;4.5;281527;281533
1293;4.5;281527;281533
1294;4.5;281527;281533
1295;4.5;281527;281533
1296;4.5;281527;281533
1297;4.5;281527;281533
1298;4.5;281527;281533
1299;4.5;281527;281533
1300;4.5;281527;281533
1301;4.5;281527;281533
